name,abbreviation,year_established,type
Ain Shams University,ASU,1950,State-funded
Al-Azhar University,AZU,975,State-funded
Alexandria University,ALEXU,1938,State-funded
Assiut University,AUN,1957,State-funded
Aswan University,ASWU,2012,State-funded
Banha University,BU,2005,State-funded
Beni-Suef University,BSU,2005,State-funded
Cairo University,CU,1908,State-funded
Capital University,HU,1975,State-funded
Damanhour University,DAU,2010,State-funded
Damietta University,DU,2012,State-funded
Fayoum University,FU,2005,State-funded
Kafrelsheikh University,KFS,2006,State-funded
Luxor University,LU,2019,State-funded
Mansoura University,MANS,1972,State-funded
Military Technical College,MTC,1957,State-funded
Minia University,-,1976,State-funded
Menoufia University,-,1976,State-funded
New Valley University,NVU,2018,State-funded
Port Said University,PSU,2010,State-funded
Sadat Academy for Management Sciences,SAMS,1981,State-funded
Sohag University,SO,2006,State-funded
South Valley University,SVU,1958,State-funded
Suez Canal University,SCU,1964,State-funded
Suez University,SU,2012,State-funded
Tanta University,TU,1972,State-funded
University of Sadat City,USC,2013,State-funded
Zagazig University,ZU,1974,State-funded
Ain Shams National University,-,2025,National
Alexandria National University,ANU,2021,National
Assiut National University,ASNU,2022,National
Benha Naitional University,BNU,2022,National
Beni Suef National University,BSNU,2022,National
Cairo National University,CNU,2025,National
Damanhour National University,DNU,2025,National
Damietta National University,DAMNU,2025,National
East Port Said National University,EPNU,2021,National
Fayoum National University,FNU,2025,National
Helwan National University,HNU,2022,National
Kafrelsheikh National University,KNU,2025,National
Luxor National University,LNU,2025,National
Mansoura National University,MANSNU,2022,National
Menoufia National University,MNU,2022,National
Minya National University,MNU,2021,National
National University of Sadat City,NUSC,2025,National
New Valley National University,NVNU,2025,National
New Ismailia National University,NINU,2025,National
Sohag National University,SNU,2021,National
South Valley National University,SVNU,2021,National
Suez National University,-,2025,National
Tanta National University,TNU,2025,National
Zagazig National University,ZNU,2021,National
Alamein International University,AIU,2020,National
Egypt-Japan University of Science and Technology,E-JUST,2010,National
Egypt University Of Informatics,EUI,2021,National
Galala University,GU,2020,National
King Salman International University,KSIU,2020,National
New Mansoura University,NMU,2021,National
Nile University,NU,2006,National
The Egyptian E-learning University,EELU,2008,National
"Zewail City of Science, Technology and Innovation",ZC,2011,National
Ahram Canadian University,ACU,2005,Private
Al Hayah University in Cairo,AHUC,2019,Private
Al Ryada University for Science and Technology,RST,2021,Private
Al Salam University in Egypt,SUE,2018,Private
"Arab Academy for Science, Technology and Maritime Transport",AASTMT,1972,Private
Arab Open University,AOU,2002,Private
Badr University in Cairo,BUC,2014,Private
Badr University in Assiut,BUA,2021,Private
Badya University,-,2023,Private
British University in Egypt,BUE,2005,Private
Canadian International College,CIC,2004,Private
City University of Cairo,CUC,2020,Private
Delta University for Science and Technology,DUST,2006,Private
Deraya University in Minya,-,2010,Private
Ecole Supérieure Libre des Sciences Commerciales Appliquées,ESLSCA,1997,Private
Egyptian Chinese University,ECU,2016,Private
Egyptian e-Learning University,EELU,2008,Private
Egyptian Russian University,ERU,2006,Private
El Saleheya El Gadida University,SGU,2020,Private
El Sewedy University of Technology,SUT,2023,Private
El Shorouk Academy,SHA,1995,Private
"European Universities in Egypt (University of London (incl. LSE), University of Central Lancashire, University of East London)",EUE,"2021 (2021, 2021, 2024)",Private
French University of Egypt,UFE,2002,Private
Future University in Egypt,FUE,2006,Private
German International University,GIU,2018,Private
German University in Cairo,GUC,2003,Private
Heliopolis University,HU,2012,Private
Hertfordshire University In Egypt,UH,2019,Private
Horus University,HUE,2019,Private
Innovation University,IU,2021,Private
Lotus University in Minya,LUM,2019,Private
May University in Cairo,MUC,2019,Private
Memphis University,-,2025,Private
Merit University,MUE,2019,Private
Misr International University,MIU,1996,Private
Misr University for Science and Technology,MUST,1996,Private
Modern Sciences and Arts University,MSA,1996,Private
Modern University for Technology and Information,MTI,2004,Private
Nahda University,NUB,2006,Private
Newgiza University,NGU,2016,Private
Nile Valley University,NVU,2021,Private
October 6 University,O6U,1996,Private
Pharos University in Alexandria,PUA,2007,Private
Rashid University,RU,2019,Private
Saxony Egypt University,SEU,2024,Private
Sinai University,SU,2006,Private
Sphinx University,-,2019,Private
The American University in Cairo,AUC,1919,Private
Toronto Metropolitan University Cairo,TMU,2022,Private
University of Prince Edward Island,UPEI,2018,Private
