name,abbreviation,year_established,type,latitude,longitude,location
Ain Shams University,ASU,1950,State-funded,30.0754657,31.2904114,"جامعة عين شمس, حارة سعفان, العباسيه البحريه, العباسية, الدمرداش, القاهرة, 11535, مصر"
Al-Azhar University,AZU,975,State-funded,30.0451256,31.2648207,"جامعة الأزهر الشريف, حارة الجهيني, المشهد الحسينى, القاهرة الإسلامية, القاهرة, 11261, مصر"
Alexandria University,ALEXU,1938,State-funded,31.2104662,29.9131341,"جامعة الإسكندرية, شارع هيرودوت, الشاطبى, الإسكندرية, 21526, مصر"
Assiut University,AUN,1957,State-funded,27.0862716,31.0688335,"جامعة بدر أسيوط, طريق اسيوط, قنا الصحراوى الغربى, أسيوط, مصر"
Aswan University,ASWU,2012,State-funded,23.9966696,32.8602255,"جامعة أسوان, طريق اسوان, ابو سمبل, مدينة صحارى, أسوان, مصر"
Banha University,BU,2005,State-funded,30.4760185,31.1968206,"جامعة بنها, شارع الشهيد تامر عبد الفضيل, بنها, القليوبية, 13512, مصر"
Beni-Suef University,BSU,2005,State-funded,29.0819499,31.1007624,"جامعة بنى سويف, شارع بورسعيد, المرماح بحرى, بنى سويف, 62515, مصر"
Cairo University,CU,1908,State-funded,30.0268120,31.2059186,"جامعة القاهرة, شارع جده, بين السرايات, الجيزة, 12984, مصر"
Damanhour University,DAU,2010,State-funded,31.0375376,30.4572077,"جامعة دمنهور, شارع ابو طالب, دمنهور, البحيرة, 22512, مصر"
Damietta University,DU,2012,State-funded,31.4241805,31.6492875,"جامعة دمياط, شارع جمال عبد الناصر الجانبى, مدينة دمياط الجديدة, دمياط الجديدة, دمياط, 34517, مصر"
Fayoum University,FU,2005,State-funded,29.3212445,30.8355711,"جامعة الفيوم, شارع عيد, ثان درب الطباخين, الفيوم, 63514, مصر"
Mansoura University,MANS,1972,State-funded,31.0407773,31.3581295,"جامعة المنصورة, شارع كليه الطب, اول ميت طلخا, المنصورة, الدقهلية, 35516, مصر"
Military Technical College,MTC,1957,State-funded,30.0779747,31.2954627,"الكلية الفنية العسكرية, شارع محمود شكري, كوبرى القبه, منشية البكرى, القاهرة, 11766, مصر"
Minia University,-,1976,State-funded,28.1077816,30.7452561,"كلية الهندسه جامعة المنيا, Pedestrian road, شاكر سيحه, المنيا, 61516, مصر"
Menoufia University,-,1976,State-funded,30.6108020,31.1097195,"Menoufia National University - جامعة المنوفية الاهلية, طريق القاهرة, الاسكندرية الزراعى, شبين الكوم, المنوفية, 32651, مصر"
Port Said University,PSU,2010,State-funded,31.2466278,32.3137968,"جامعة بورسعيد, شارع طلعت حرب, أول بورفؤاد, Port Fuad, بورسعيد, 42523, مصر"
Sadat Academy for Management Sciences,SAMS,1981,State-funded,29.9595268,31.2496650,"أكاديمية السادات للعلوم الإدارية, شارع كورنيش النيل, طره الاسمنت, المعادى, طرة, القاهرة, 11917, مصر"
Sohag University,SO,2006,State-funded,26.4526656,31.6655987,"جامعة سوهاج, طريق اسيوط, سوهاج الصحراوى الغربى, منطقة خدمات, سوهاج الجديدة, الوادي الجديد, مصر"
Suez Canal University,SCU,1964,State-funded,30.6221359,32.2750549,"جامعة قناة السويس, شارع الموقف, مساكن المرحله 7ب, الإسماعيلية, 41529, مصر"
Suez University,SU,2012,State-funded,30.6221359,32.2750549,"جامعة قناة السويس, شارع دار الشفاء, مساكن ال500 وحده, الإسماعيلية, 41529, مصر"
Tanta University,TU,1972,State-funded,30.8002088,30.9922276,"جامعة طنطا, شارع الجامعة, ام المؤمنين, الغربية, 31516, مصر"
University of Sadat City,USC,2013,State-funded,30.3694311,30.4971697,"جامعة مدينة السادات, شارع عبد المنعم رياض, مدينة السادات, المنوفية, 32921, مصر"
Zagazig University,ZU,1974,State-funded,30.5886075,31.4819297,"جامعة الزقازيق, كوبري الجامعه, الاشاره, الزقازيق, الشرقية, 44759, مصر"
Alexandria National University,ANU,2021,National,31.2175124,29.9764160,"Alexandria National University, طريق السكه الحديد, الإسكندرية, 21918, مصر"
Helwan National University,HNU,2022,National,29.8705051,31.3166605,"جامعة حلوان الاهلية, شارع شركه النصر, وادي حوف, حلوان, القاهرة, 11795, مصر"
Mansoura National University,MANSNU,2022,National,31.4486944,31.4809210,"جامعة المنصورة الأهلية, الطريق الساحلى الدولى, جمصة, الدقهلية, 35712, مصر"
Menoufia National University,MNU,2022,National,30.6108020,31.1097195,"Menoufia National University - جامعة المنوفية الاهلية, كوبرى طوخ, طنبشا, شبين الكوم, المنوفية, 32651, مصر"
Alamein International University,AIU,2020,National,30.8140870,28.9297635,"جامعة العلمين الدولية, طريق البترول ابو سنان, العلمين, مطروح, مصر"
Egypt-Japan University of Science and Technology,E-JUST,2010,National,30.8585059,29.5649376,"Egypt-Japan University of Science and Technology, شارع الدكتور احمد زويل, New Borg el-Arab, مطروح, 21934, مصر"
Galala University,GU,2020,National,29.4309385,32.4018271,"جامعة الجلالة, طريق الجلالة, السويس الجديدة, السويس, مصر"
King Salman International University,KSIU,2020,National,29.5891624,32.7714109,"KSIU, طريق شرم الشيخ الدولي, جنوب سيناء, مصر"
New Mansoura University,NMU,2021,National,31.4606344,31.4559443,"New Mansoura University, الطريق الساحلى الدولى, الدقهلية, 7731168, مصر"
Nile University,NU,2006,National,30.0091536,30.9859887,"Nile University, محور 26 يوليو, رويال سيتى, الجيزة, 12573, مصر"
Ahram Canadian University,ACU,2005,Private,29.9370204,30.8838285,"جامعة الأهرام الكندية, شارع 26, المنطقة الصناعية, الحي الثاني عشر, السادس من أكتوبر, الجيزة, 12581, مصر"
Arab Open University,AOU,2002,Private,30.0635290,31.3455894,"الجامعة العربية المفتوحة, شارع مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة, 11391, مصر"
British University in Egypt,BUE,2005,Private,30.1187457,31.6106136,"الجامعة البريطانية فى مصر, طريق الحريه, مدينة الشروق, ماي فير, القاهرة, 19511, مصر"
Canadian International College,CIC,2004,Private,30.0353671,31.4300627,"Canadian International College, شارع ثروت عكاشة, أحياء جنوب الأكاديمية, القاهرة, 15153, مصر"
