name,abbreviation,year_established,type,latitude,longitude,location,driving_distance_km,driving_time_minutes
Ain Shams University,ASU,1950,State-funded,30.0754657,31.2904114,"جامعة عين شمس, حارة سعفان, العباسيه البحريه, العباسية, الدمرداش, القاهرة, 11535, مصر",76.69,65
Al-Azhar University,AZU,975,State-funded,30.0451256,31.2648207,"جامعة الأزهر الشريف, حارة الجهيني, المشهد الحسينى, القاهرة الإسلامية, القاهرة, 11261, مصر",79.51,66
Alexandria University,ALEXU,1938,State-funded,31.2104662,29.9131341,"جامعة الإسكندرية, شارع هيرودوت, الشاطبى, الإسكندرية, 21526, مصر",195.49,162
Assiut University,AUN,1957,State-funded,27.0862716,31.0688335,"جامعة بدر أسيوط, طريق اسيوط, قنا الصحراوى الغربى, أسيوط, مصر",494.11,340
Aswan University,ASWU,2012,State-funded,23.9966696,32.8602255,"جامعة أسوان, طريق اسوان, ابو سمبل, مدينة صحارى, أسوان, مصر",942.7,668
Banha University,BU,2005,State-funded,30.4760185,31.1968206,"جامعة بنها, شارع الشهيد تامر عبد الفضيل, بنها, القليوبية, 13512, مصر",38.81,36
Beni-Suef University,BSU,2005,State-funded,29.0819499,31.1007624,"جامعة بنى سويف, شارع بورسعيد, المرماح بحرى, بنى سويف, 62515, مصر",207.43,154
Cairo University,CU,1908,State-funded,30.0268120,31.2059186,"جامعة القاهرة, شارع جده, بين السرايات, الجيزة, 12984, مصر",93.09,73
Damanhour University,DAU,2010,State-funded,31.0375376,30.4572077,"جامعة دمنهور, شارع ابو طالب, دمنهور, البحيرة, 22512, مصر",138.47,115
Damietta University,DU,2012,State-funded,31.4241805,31.6492875,"جامعة دمياط, شارع جمال عبد الناصر الجانبى, مدينة دمياط الجديدة, دمياط الجديدة, دمياط, 34517, مصر",125.33,102
Fayoum University,FU,2005,State-funded,29.3212445,30.8355711,"جامعة الفيوم, شارع عيد, ثان درب الطباخين, الفيوم, 63514, مصر",185.19,141
Mansoura University,MANS,1972,State-funded,31.0407773,31.3581295,"جامعة المنصورة, شارع كليه الطب, اول ميت طلخا, المنصورة, الدقهلية, 35516, مصر",64.3,53
Military Technical College,MTC,1957,State-funded,30.0779747,31.2954627,"الكلية الفنية العسكرية, شارع محمود شكري, كوبرى القبه, منشية البكرى, القاهرة, 11766, مصر",75.1,63
Minia University,-,1976,State-funded,28.1077816,30.7452561,"كلية الهندسه جامعة المنيا, Pedestrian road, شاكر سيحه, المنيا, 61516, مصر",356.6,249
Menoufia University,-,1976,State-funded,30.6108020,31.1097195,"Menoufia National University - جامعة المنوفية الاهلية, طريق القاهرة, الاسكندرية الزراعى, شبين الكوم, المنوفية, 32651, مصر",54.42,46
Port Said University,PSU,2010,State-funded,31.2466278,32.3137968,"جامعة بورسعيد, شارع طلعت حرب, أول بورفؤاد, Port Fuad, بورسعيد, 42523, مصر",146.18,107
Sadat Academy for Management Sciences,SAMS,1981,State-funded,29.9595268,31.2496650,"أكاديمية السادات للعلوم الإدارية, شارع كورنيش النيل, طره الاسمنت, المعادى, طرة, القاهرة, 11917, مصر",92.85,79
Sohag University,SO,2006,State-funded,26.4526656,31.6655987,"جامعة سوهاج, طريق اسيوط, سوهاج الصحراوى الغربى, منطقة خدمات, سوهاج الجديدة, الوادي الجديد, مصر",580.93,426
Suez Canal University,SCU,1964,State-funded,30.6221359,32.2750549,"جامعة قناة السويس, شارع الموقف, مساكن المرحله 7ب, الإسماعيلية, 41529, مصر",85.27,65
Suez University,SU,2012,State-funded,30.6221359,32.2750549,"جامعة قناة السويس, شارع دار الشفاء, مساكن ال500 وحده, الإسماعيلية, 41529, مصر",85.27,65
Tanta University,TU,1972,State-funded,30.8002088,30.9922276,"جامعة طنطا, شارع الجامعة, ام المؤمنين, الغربية, 31516, مصر",66.11,64
University of Sadat City,USC,2013,State-funded,30.3694311,30.4971697,"جامعة مدينة السادات, شارع عبد المنعم رياض, مدينة السادات, المنوفية, 32921, مصر",122.79,93
Zagazig University,ZU,1974,State-funded,30.5886075,31.4819297,"جامعة الزقازيق, كوبري الجامعه, الاشاره, الزقازيق, الشرقية, 44759, مصر",6.12,6
Alexandria National University,ANU,2021,National,31.2175124,29.9764160,"Alexandria National University, طريق السكه الحديد, الإسكندرية, 21918, مصر",191.51,161
